Column1,short_description
72, चीन के फ्यूल स्टेशन पर हुए कार हादसे के वीडियो को भारत का बताकर किया गया शेयर
73, हूती विद्रोहियों के इजरायली जहाज पर हमले को नहीं दिखाता ये वायरल वीडियो
74, मुस्लिम लड़कों से शादी करने वाली इन हिंदू लड़कियों की कहानी बिल्कुल अलग है
75, क्या इस वीडियो में वसुंधरा कर रही हैं निर्दलीय प्रत्याशी को साधने की कोशिश? ये वीडियो पुराना है
76," हमास के सामने इजरायली सैनिकों के सरेंडर को नहीं दिखाता है ये वीडियो, भ्रामक दावा वायरल"
77," भारत ने नहीं जीता महिला हॉकी विश्व कप, जश्न के इस वीडियो की कहानी कुछ और है"
78," वर्ल्ड कप ट्रॉफी पर पैर रखने के चलते मिशेल मार्श को नहीं मिली कोई सजा, बेबुनियाद है ये दावा"
79, पत्नी द्वारा प्रेमिका के साथ आपत्तिजनक अवस्था में पकड़ा गया ये शख्स बीजेपी विधायक नहीं
80, वर्ल्ड कप में बेईमानी के चलते ट्रेविस हेड पर जुर्माना लगने की बात पूरी तरह मनगढ़ंत है
81, झूठा है वर्ल्डकप फाइनल के अंपायर रिचर्ड केटलब्रॉ की मौत का दावा
82," सुरंग से मजदूरों को निकालने का नहीं, ये सिर्फ एक मॉक ड्रिल का वीडियो है"
83, मनचले को पीट रहीं छात्राओं का पांच साल पुराना वीडियो झूठे सांप्रदायिक दावे के साथ वायरल
84," हूती के इजरायली पनडुब्बी पर कब्जा करने वाले दावे पर न करें यकीन, ये वीडियो पुराना है"
85, अशोक गहलोत की रैली में मोदी-मोदी के नारे? असम सीएम और कइयों ने आगे बढ़ाया फर्जी वीडियो
86, पूरी तरह मनगढ़ंत है विश्व कप का फाइनल मैच दोबारा कराए जाने की बात
87, क्या कोका-कोला की बोतलें हटाकर डेविड वॉर्नर ने किया फिलिस्तीन का समर्थन? भ्रामक है ये पोस्ट
88," ट्रेविस हेड के हाथों से नहीं छूटा था रोहित शर्मा का कैच, फर्जी फोटो के जरिये किया जा रहा बेईमानी का दावा"
89, पाकिस्तान से आईं सीमा हैदर के पति सचिन की हत्या का दावा बेबुनियाद है
90, विश्व कप में बांग्लादेश की हार के बाद कप्तान शाकिब के साथ हुई धक्का-मुक्की? जानें सच
91, मनमोहन सिंह की पाकिस्तानी खिलाड़ियों से मुलाकात की फोटो गलत संदर्भ में हुई वायरल
92, मुस्लिम महिला को थप्पड़ मारती यूपी पुलिसकर्मी का पुराना वीडियो एमपी चुनाव का बताकर वायरल
93, टॉपलेस फैन का ये वीडियो 2023 क्रिकेट वर्ल्ड कप का नहीं है
94," राहुल गांधी ने नहीं किया भारत माता का अपमान, उनके भाषण का ये वीडियो अधूरा है"
95," दूसरे विश्व युद्ध के दौरान इंग्लैंड में बने बंकर का वीडियो, हमास की सुरंग का बताकर हुआ वायरल"
96," हमास समर्थकों को पीटती इजरायली लड़कियां नहीं हैं ये, स्क्रिप्टेड वीडियो से फैलाया जा रहा भ्रम"
97," राम मंदिर का नहीं, काले कपड़े पहनकर कांग्रेस नेताओं ने किया था महंगाई-बेरोजगारी का विरोध"
98, फर्जी वीडियो के जरिए कही जा रही AAP नेताओं के गालियों पर नाचने की बात
99, क्या फिलिस्तीनी लोगों ने किया इजरायली कंपनी पर कब्जा? इस वीडियो की कहानी कुछ और है
100," मायावती ने नहीं किया एमपी चुनावों में बीजेपी को समर्थन देने का ऐलान, वायरल वीडियो एडिटेड है"
101, पेड़ से बंधे राजस्थान बीजेपी नेताओं के वीडियो की कहानी ये नहीं जो बताई जा रही है
102, क्या हथियारों से भरे कमरे का ये वीडियो गाजा के अल-शिफा अस्पताल का है? सच कुछ और है
103, केबीसी शो के नकली वीडियो चुनाव में कैसे बना रहे हैं लोगों को बेवकूफ
104, पश्चिम बंगाल में बीजेपी नेता के खदेड़े जाने का पुराना वीडियो अब एमपी का बताकर हुआ वायरल
105, बांग्लादेश का स्क्रिप्टेड वीडियो लव जिहाद के झूठे दावे के साथ वायरल
106, झारखंड में हुई मॉक ड्रिल का वीडियो मंदसौर गोलीकांड का बता कर किया जा रहा शेयर
107," साधु-संतों ने शिवराज सरकार के पक्ष में प्रचार करने से नहीं किया इंकार, ये वीडियो एडिटेड है"
108, टैंक में धमाके का सालों पुराना वीडियो इजरायल-हमास जंग का बताकर हुआ वायरल
109, बिहार में एक बूढ़े आदमी को अपनी बेटी बेचने वाली महिला का ये वीडियो स्क्रिप्टेड है
110, फिलिस्तीन के अलग-अलग इलाकों में इस बच्ची को रेस्क्यू करते हुए फर्जी फोटो खिंचाने की बात है बेबुनियाद
111, गरबा कर रहे पीएम मोदी जैसे दिखने वाले इस शख्स के वीडियो से चकमा खा गए लोग
112, अखिलेश की रैली में उमड़ी भीड़ का दो साल पुराना वीडियो अब एमपी चुनाव के एंगल से हो रहा शेयर
113, गेमिंग का वीडियो हिज्बुल्लाह के इजरायली टैंक पर हमले का बताकर हुआ वायरल
114, राहुल गांधी की केदारनाथ यात्रा में सचमुच लगे थे 'मोदी-मोदी' के नारे
115," पीएम मोदी ने हिंदुत्व को ‘नहीं’ बताया था चुनावी ताश का पत्ता, एडिटेड है ये वीडियो"
116," कमलनाथ ने नहीं की ये योजना बंद करने की बात, फर्जी है वायरल वीडियो"
117, मराठा आरक्षण की खातिर इन बच्चों ने किन नेताओं के पोस्टर पर निकाला अपना गुस्सा?
118," वापस देश लौटे अफगानियों पर तालिबान की बर्बरता का नहीं, ये पाकिस्तानी पुलिस के लाठीचार्ज का वीडियो है"
119," ये हमास का इजरायली सेना पर हमले का नहीं, तीन साल पहले गाजा में हुई मॉक ड्रिल का वीडियो है"
120, क्या इस शख्स ने कर्नाटक में कांग्रेस से परेशान होकर काट ली अपनी उंगली? सच कुछ और है
121, साउथ अफ्रीका की जीत का जश्न मनाते पाकिस्तानी बॉ​लिंग कोच का नहीं है ये वीडियो
122, पिस्तौल-राइफल चलाते बच्चों के इस वीडियो के 'फिलिस्तीन कनेक्शन' की बात सही नहीं है
123, क्या रैली में महिला से बीजेपी नेता ने की छेड़खानी? पाकिस्तान के वीडियो को एडिट करके फैलाया जा रहा भ्रम
124," यूपी के हरदोई में हमास समर्थकों की गिरफ्तारी नहीं दिखाता ये वीडियो, इसकी कहानी कुछ और है"
125," छत ढकने वाली तकनीक से लैस स्टेडियम का ये दिलचस्प वीडियो लखनऊ के इकाना का नहीं, कनाडा का है"
126, क्या एमपी-राजस्थान में मायावती हैं सीएम पद की पहली पसंद? ये है वायरल सर्वे का सच
127, आगामी चुनाव में बीजेपी की हार का अंदेशा जताते सीएम शिवराज का ये वीडियो एडिटेड है
128, महिला को उसी के बच्चे का मांस खिलाने वाला ये हैवानियत भरा वाकया हमास से जुड़ा नहीं है
129, क्या अफगानिस्तान के क्रिकेट फैंस ने बंदूकों के साथ मनाया पाकिस्तान को हराने का जश्न? इस वीडियो की कहानी कुछ और ही है
130, सीरिया की इमारत में फंसे बच्चों का वीडियो इजरायल-हमास विवाद से जोड़कर किया जा रहा है शेयर
131, क्या पानी पी रहे फिलिस्तीनी बच्चों पर इजरायल ने गिराया बम? भ्रामक है वायरल पोस्ट
132, बाढ़ में ठिठुरते ताजिकिस्तानी बच्चे के वीडियो को गाजा से जोड़कर किया गया शेयर
133, पाकिस्तान के धार्मिक जुलूस में हुए बम विस्फोट का वीडियो फिलिस्तीन के समर्थन में निकाली जा रही रैली का बताकर वायरल
134," अक्षय कुमार ने नहीं किया है फिलिस्तीन का सर्मथन, ये वीडियो एडिटेड है"
135, इजरायल को एटम बम की धमकी देती पाकिस्तानी नेता के इस वीडियो का पूरा सच ये है
136, सैनिकों को जिंदा जलाकर मारने का ये हैवानियत भरा वीडियो न तो हाल-फिलहाल का है और न ही गाजा का है
137, गाजा से हो रहे पलायन के संदर्भ में अजरबैजान का पुराना वीडियो वायरल
138," 12 साल पुराना है नितिन गडकरी का ये वीडियो, पीएम मोदी की नहीं कर रहे थे आलोचना"
139, पाकिस्तानी समर्थक के साथ मारपीट का ये वीडियो भारत-पाकिस्तान मैच का नहीं है
140, क्या वर्ल्ड कप में भारत से हारने के बाद पाकिस्तानी फैन ने तोड़ा टीवी?
141," मोहम्मद सिराज ने पाकिस्तान से मिली जीत इजरायल को नहीं की समर्पित, पैरोडी अकाउंट से किया गया है ये ट्वीट"
142," भारी भीड़ के बीच उतरते पैराग्लाइडर्स का ये वीडियो इजरायल नहीं, मिस्र का है"
143, जॉर्डन में नकली शवयात्रा निकालने का पुराना वीडियो अब गाजा पट्टी का बताकर हो रहा शेयर
144, सिपाहियों के आगे फिलिस्तीन का झंडा लहरा रही बच्ची का ये वीडियो दो साल से ज्यादा पुराना है
145," इजरायल को बदनाम करने के लिए चोट के निशान नहीं बना रहे ये फिलिस्तीनी, फिल्म शूटिंग का है ये वीडियो"
146," सेकेंडों में धराशाई हुई इमारतों का ये वीडियो न तो हालिया है, न ही गाजा का"
147," नकली गेहूं बनाने का नहीं, ये प्लास्टिक की रीसायक्लिंग का वीडियो है"
148," हमास के हमले में नहीं हुई है इस इजराइली कपल की मौत, ये है पूरा सच"
149," सिक्किम में बादल फटने का नहीं है ये वीडियो, जानिये इसकी हकीकत"
150, वीडियो गेम का फुटेज इजरायल-फिलिस्तीन संघर्ष का बताकर हुआ वायरल
151," 'कौन बनेगा करोड़पति' में नहीं पूछा गया शिवराज सिंह चौहान पर तंज कसने वाला ये सवाल, फर्जी वीडियो से फैला भ्रम"
152," ‘गैंग्स ऑफ वासेपुर’ से प्रभावित, टीचर को गोली मारने वाले ये शख्स मुस्लिम नहीं, हिन्दू हैं"
153, शाहरुख स्टारर 'स्वदेस' की अभिनेत्री गायत्री जोशी की कार एक्सीडेंट में मौत की बात है बेबुनियाद
154, आप नेता संजय सिंह की गिरफ्तारी से जोड़कर वायरल हुई उनकी एक साल पुरानी फोटो
155, मोदी और ओवैसी की मुलाकात की ये तस्वीर फर्जी है
156," न बाबर आजम महाकाल मंदिर पहुंचे, न रिजवान कार दुर्घटना में हुए घायल; वायरल वीडियो एडिटेड"
157, पत्थरबाजी के आरोपियों को अर्धनग्न कर परेड करवाती पुलिस का ये वीडियो यूपी का नहीं है
158," हापुड़ में अभद्रता करने वाले शख्स को छात्राओं ने पीटा, लेकिन इस मामले में नहीं है कोई सांप्रदायिक एंगल"
159, महिला के साथ मारपीट का ये वीडियो राजस्थान से पाकिस्तान गई अंजू का नहीं है
160, 'गाइड' फिल्म के गाने पर डांस करती ये बुजुर्ग महिला अभिनेत्री वहीदा रहमान नहीं हैं
161," तमिलनाडु में सनातन के असर का नहीं, ये मुंबई में मनाए जा रहे गणपति आगमन के उत्सव का वीडियो है"
162, इस पाकिस्तानी शख्स के अपनी बेटी के साथ बलात्कार करने की बात में नहीं है कोई सच्चाई
163, यासिर अराफात और फिलिस्तीन को लेकर किए जा रहे इन दावों में दम नहीं है
164, पीएम मोदी के गाने पर झूम रहे मुस्लिम समुदाय के लोगों का ये वीडियो जम्मू-कश्मीर का नहीं है
165," सूरत की सड़कों पर लोग असली नहीं, किलो के भाव में बिकने वाले नकली हीरे बीन रहे थे"
166, झारखंड में महिलाओं पर लाठीचार्ज की ये घटना हाल-फिलहाल में नहीं बल्कि 2019 में हुई थी
167, अशोक गहलोत की रैली में लगे मोदी-मोदी के नारे? एडिटेड है ये वीडियो
168, पिता के विरुद्ध जाकर शादी कर रही लड़की का वीडियो झूठे सांप्रदायिक दावे के साथ वायरल
169, विवाद में फंसने के बाद पंजाबी गायक शुभ के इंस्टाग्राम फॉलोअर्स घटे नहीं बल्कि बढ़े हैं
170," क्लासरूम में हिजाबी छात्रा को पीटते लड़कों का ये वीडियो भारत नहीं, इंडोनेशिया का है"
171, यूपी के दुपट्टा कांड में हुई पुलिस मुठभेड़ में घायल हुए अपराधियों का नहीं है ये वीडियो
172, यूपी के बांदा में आवारा पशुओं को लेकर आगाह करते बोर्ड की ये फोटो चार साल पुरानी है
173, इस वीडियो में PM मोदी को बुरा-भला कह रहा ये शख्स नेपाल का सांसद नहीं है
174," गुजरात के आम आदमी पार्टी के नेता के घर नहीं पड़ी थी ये रेड, यहां जानें इस वीडियो की सच्चाई"
175, कैंसर से जूझ रहे सेना के इस जवान का 2020 में ही हो चुका है निधन
176, पेट्रोल पंप के पास लगी आग का ये वायरल वीडियो अहमदाबाद का नहीं है
177, बीएसपी की भोपाल में हुई रैली के वीडियो को तेलंगाना का बताकर किया गया शेयर
178," आमिर खान ने नहीं की बीजेपी के खिलाफ मतदान करने की अपील, भ्रामक है ये वीडियो"
179, यूपी सरकार की शवयात्रा निकालने वाले विरोध प्रदर्शन का ये वीडियो चार साल पुराना है
180, नागपुर के सांस्कृतिक केंद्र का वीडियो अयोध्या में बन रहे राम मंदिर का बताकर वायरल
181, विराट कोहली के साथ बिग बॉस की ट्रॉफी पकड़े एल्विश यादव की इस तस्वीर पर ना करें यकीन
182," बलिया के पूर्व DM ने 2019 में की थी BSP नेता के जूतों और गाड़ी पर टिप्पणी, मामला अभी का बताकर हुआ वायरल"
183, आगरा में पुलिस की छापेमारी के पुराने वीडियो को फर्जी सांप्रदायिक एंगल देकर किया गया शेयर
184," रोती हुई मां को वृद्धाश्रम ले जा रहे बेटे-बहू के इस वीडियो पर न करें यकीन, ये स्क्रिप्टेड है"
185, क्या लखनऊ में ऐसी बिजली कड़की कि आसमान में बन गया दिल? ये है वीडियो का सच
186, पुरी की रथ यात्रा का वीडियो हनुमान बेनीवाल की जयपुर रैली का बताकर वायरल
187, भीड़ के हाथों पिट रहे शख्स का ये वीडियो ना तो एमपी का है न ही बीजेपी विधायक का
188, जमीन पर फैली कॉफी को साफ कर रहे नीदरलैंड पीएम का ये वीडियो G20 सम्मेलन का नहीं है
189, जी20 के दौरान ‘रघुपति राघव राजा राम’ गीत से नहीं हटाया गया ‘अल्लाह’ शब्द
190, भारत-पाक मैच में बजा 'भारत का बच्चा बच्चा जय श्री राम बोलेगा'? ये वीडियो एडिटेड है
191, पीएम मोदी और राष्ट्रपति बाइडेन की मीटिंग में महाभारत की पेंटिंग दिखाती ये फोटो एडिटेड है
192," पीएम मोदी की ये सोने की मूर्ति सऊदी अरब में नहीं लगाई गई है, ये सूरत के एक ज्वेलर के पास है"
193, सचिन पायलट की बहन नहीं हैं उमर अब्दुल्ला से अलग रह रहीं उनकी पत्नी पायल
194," कानपुर के खेत में दबा मिला नवजात, वीडियो मोरक्को भूकंप का बताकर हुआ वायरल​​​​​​​"
195, एमपी चुनावों में कांग्रेस की भारी जीत का अनुमान लगाता सर्वे का ये वीडियो एडिटेड है
196, यूरोप के मॉल में सामान लूटते मुस्लिमों को नहीं दिखाता ये वीडियो
197, पंजाब के शिक्षकों की पिटाई का ये वीडियो शिक्षक दिवस का नहीं है
198, ट्रेन में आग लगने की खबर से मचे हड़कंप का वीडियो भ्रामक दावे के साथ हुआ शेयर
199, कोलकाता में अल्पसंख्यक किराएदारों को विशेष सुविधाएं देने वाले कानून की क्या है सच्चाई?
200," सारा अली खान के बागेश्वर धाम पहुंचने की बात गलत, ये वीडियो उज्जैन के महाकाल मंदिर का है"
201, लड़के के माथे पर 'जय भोलेनाथ' लिखने की इस घटना में नहीं है कोई सांप्रदायिक एंगल
202, छेड़छाड़ के आरोपियों को सरेआम डंडे से पीट रही गुजरात पुलिस का ये वीडियो 8 साल पुराना है
203, धार्मिक स्टिकर लगाने को लेकर पुलिसकर्मी और बाइकसवार के बीच हुई झड़प का ये वीडियो राजस्थान का नहीं है
204," अमेरिका में चार लाख ईसाइयों के हिंदू धर्म अपनाने की बात है मनगढ़ंत, जानिये इस तस्वीरों का सच"
205," शराब के नशे में नहीं, दिमागी बीमारी के चलते इस तेंदुए ने किया पालतू जानवर जैसा बर्ताव"
206," रक्षाबंधन पर वायरल हुई पेटीएम वाली ये मेहंदी रचेगी, पर चलेगी नहीं! जानिये कैसे बनाया गया ये वीडियो"
